|trigger_name|name        |error_radius|time                   |end_time               |trigger_time           |trigger_type|geo_long|geo_lat |localization_source|
|bn210809724 |TGF210809724|     25.9833|2021-08-09 17:20:19.163|2021-08-09 17:30:25.381|2021-08-09 17:22:30.829|TGF         |109.3667| -8.1500|Fermi, GBM FSW     |
|bn210806923 |TGF210806923|     30.1833|2021-08-06 22:06:35.256|2021-08-06 22:16:49.666|2021-08-06 22:08:49.866|TGF         |262.8000| 17.3167|Fermi, GBM FSW     |
|bn210805224 |TGF210805224|     30.6333|2021-08-05 05:19:49.872|2021-08-05 05:30:04.284|2021-08-05 05:22:04.659|TGF         |268.1667| 16.7667|Fermi, GBM FSW     |
|bn210722034 |TGF210722034|     34.6500|2021-07-22 00:46:59.368|2021-07-22 00:57:13.779|2021-07-22 00:49:11.194|TGF         |107.7500|  8.5500|Fermi, GBM FSW     |
|bn210717994 |TGF210717994|     34.4667|2021-07-17 23:48:40.284|2021-07-17 23:58:54.692|2021-07-17 23:50:55.358|TGF         | 78.3167| 25.3833|Fermi, GBM FSW     |
|bn210717324 |TGF210717324|     27.9667|2021-07-17 07:43:48.527|2021-07-17 07:47:29.715|2021-07-17 07:46:06.961|TGF         |268.9333| 13.4167|Fermi, GBM FSW     |
|bn210715744 |TGF210715744|     34.6667|2021-07-15 17:48:57.099|2021-07-15 17:59:11.508|2021-07-15 17:51:10.429|TGF         |154.8000| 21.2667|Fermi, GBM         |
|bn210704270 |TGF210704270|     26.0000|2021-07-04 06:26:54.232|2021-07-04 06:37:08.642|2021-07-04 06:29:06.746|TGF         |132.9333| 19.3333|Fermi, LAT         |
|bn210628068 |TGF210628068|     15.9000|2021-06-28 01:35:38.516|2021-06-28 01:39:44.280|2021-06-28 01:37:54.438|TGF         |272.3167| 13.0000|Fermi, GBM FSW     |
|bn210627854 |TGF210627854|     26.4333|2021-06-27 20:27:47.981|2021-06-27 20:38:02.391|2021-06-27 20:30:00.815|TGF         |259.7500| 22.6000|Fermi, GBM FSW     |
|bn210620681 |TGF210620681|     30.5167|2021-06-20 16:18:28.241|2021-06-20 16:28:42.654|2021-06-20 16:20:45.076|TGF         |144.0500| -3.0167|Fermi, GBM FSW     |
|bn210617554 |TGF210617554|     28.9333|2021-06-17 13:15:07.261|2021-06-17 13:25:13.482|2021-06-17 13:17:19.040|TGF         | 78.1833| 20.2667|Fermi, GBM FSW     |
|bn210617308 |TGF210617308|     32.3833|2021-06-17 07:21:56.186|2021-06-17 07:30:56.869|2021-06-17 07:24:08.877|TGF         |275.9667| 10.2500|Fermi, GBM FSW     |
|bn210614708 |TGF210614708|     25.8833|2021-06-14 16:57:18.355|2021-06-14 17:07:32.768|2021-06-14 16:59:36.262|TGF         |  8.6667|  6.7000|Fermi, GBM FSW     |
|bn210606264 |TGF210606264|     50.0000|2021-06-06 06:18:01.909|2021-06-06 06:28:16.322|2021-06-06 06:20:18.376|TGF         |266.9667| 19.1667|Fermi, GBM FSW     |
|bn210520716 |TGF210520716|     23.4167|2021-05-20 17:08:29.337|2021-05-20 17:11:47.996|2021-05-20 17:10:46.251|TGF         |358.2500|  4.1333|Fermi, GBM FSW     |
|bn210515505 |TGF210515505|     26.1333|2021-05-15 12:04:58.427|2021-05-15 12:15:12.838|2021-05-15 12:07:10.733|TGF         |137.4833| -6.5500|Fermi, GBM FSW     |
|bn210514047 |TGF210514047|     26.7667|2021-05-14 01:06:53.661|2021-05-14 01:07:19.261|2021-05-14 01:07:02.637|TGF         |284.0167|  7.4833|Fermi, GBM FSW     |
|bn210513395 |TGF210513395|     90.0000|2021-05-13 09:26:29.503|2021-05-13 09:36:43.914|2021-05-13 09:28:46.098|TGF         |206.5833|-12.2500|Fermi, GBM         |
